Iteration	CPUTime	PhysTime	Travels
381	1007	319.413385	2.00185181
382	1009	319.962064	2.00710602
383	1012	320.527309	2.01236022
384	1014	321.075651	2.01761443
385	1017	321.640539	2.02286863
386	1019	322.188637	2.02812284
387	1021	322.753339	2.03337704
388	1024	323.301187	2.03863124
389	1026	323.865446	2.04388545
390	1028	324.412621	2.04913965
391	1031	324.976183	2.05439386
392	1033	325.522837	2.05964806
393	1035	326.086185	2.06490227
394	1038	326.632823	2.07015647
395	1040	327.19596	2.07541067
396	1042	327.742325	2.08066488
397	1045	328.304155	2.08591908
398	1047	328.847924	2.09117329
399	1049	329.408894	2.09642749
400	1052	329.952171	2.1016817
401	1055	330.512675	2.1069359
402	1058	331.057441	2.1121901
403	1060	331.61732	2.11744431
404	1062	332.161801	2.12269851
405	1065	332.720881	2.12795272
406	1067	333.262984	2.13320692
407	1070	333.821712	2.13846112
408	1072	334.36275	2.14371533
409	1074	334.921078	2.14896953
410	1077	335.462474	2.15422374
411	1079	336.020202	2.15947794
412	1081	336.562652	2.16473215
413	1084	337.119663	2.16998635
414	1086	337.659578	2.17524055
415	1088	338.216552	2.18049476
416	1091	338.75599	2.18574896
417	1093	339.312621	2.19100317
418	1095	339.85252	2.19625737
419	1098	340.40888	2.20151158
420	1100	340.949576	2.20676578
421	1102	341.505336	2.21201998
422	1105	342.043648	2.21727419
423	1107	342.599169	2.22252839
424	1109	343.13728	2.2277826
425	1112	343.692422	2.2330368
426	1114	344.230839	2.23829101
427	1117	344.785697	2.24354521
428	1119	345.324994	2.24879941
429	1121	345.879119	2.25405362
430	1124	346.416312	2.25930782
431	1126	346.970339	2.26456203
432	1128	347.506922	2.26981623
433	1131	348.060686	2.27507044
434	1133	348.597483	2.28032464
435	1135	349.150842	2.28557884
436	1138	349.688922	2.29083305
437	1140	350.241622	2.29608725
438	1142	350.777251	2.30134146
439	1145	351.330017	2.30659566
440	1147	351.865089	2.31184986
441	1149	352.417538	2.31710407
442	1152	352.953231	2.32235827
443	1154	353.505437	2.32761248
444	1156	354.042107	2.33286668
445	1159	354.593585	2.33812089
446	1161	355.127894	2.34337509
447	1163	355.679068	2.34862929
448	1166	356.213099	2.3538835
449	1168	356.764078	2.3591377
450	1170	357.298436	2.36439191
451	1173	357.849248	2.36964611
452	1175	358.384453	2.37490032
453	1177	358.934618	2.38015452
454	1180	359.4676	2.38540872
455	1182	360.01773	2.39066293
456	1185	360.552463	2.39591713
457	1187	361.102012	2.40117134
458	1190	361.636358	2.40642554
459	1192	362.185433	2.41167975
460	1194	362.719747	2.41693395
461	1197	363.268301	2.42218815
462	1199	363.800081	2.42744236
463	1202	364.348979	2.43269656
464	1204	364.882464	2.43795077
465	1207	365.43073	2.44320497
466	1209	365.964172	2.44845918
467	1212	366.512187	2.45371338
468	1214	367.045234	2.45896758
469	1217	367.593029	2.46422179
470	1219	368.125837	2.46947599
471	1222	368.673328	2.4747302
472	1224	369.206057	2.4799844
473	1227	369.753514	2.4852386
474	1229	370.2859	2.49049281
475	1231	370.833349	2.49574701
476	1234	371.365543	2.50100122
477	1236	371.912767	2.50625542
478	1239	372.444999	2.51150963
479	1241	372.992047	2.51676383
480	1244	373.524111	2.52201803
481	1246	374.071133	2.52727224
482	1249	374.603183	2.53252644
483	1251	375.150194	2.53778065
484	1253	375.682193	2.54303485
485	1256	376.229021	2.54828906
486	1258	376.76078	2.55354326
487	1261	377.307699	2.55879746
488	1263	377.839414	2.56405167
489	1265	378.386174	2.56930587
490	1268	378.917952	2.57456008
491	1270	379.464608	2.57981428
492	1272	379.996121	2.58506849
493	1275	380.542904	2.59032269
494	1277	381.074442	2.59557689
495	1279	381.621024	2.6008311
496	1282	382.152744	2.6060853
497	1284	382.699284	2.61133951
498	1286	383.230704	2.61659371
499	1289	383.777335	2.62184791
500	1291	384.308743	2.62710212
501	1294	384.855212	2.63235632
502	1297	385.386846	2.63761053
503	1299	385.933504	2.64286473
504	1301	386.464799	2.64811894
505	1304	387.011463	2.65337314
506	1306	387.542766	2.65862734
507	1308	388.089211	2.66388155
508	1310	388.620592	2.66913575
509	1313	389.166984	2.67438996
510	1315	389.697999	2.67964416
511	1318	390.244287	2.68489837
512	1320	390.775418	2.69015257
513	1322	391.32169	2.69540677
514	1324	391.852824	2.70066098
515	1327	392.39915	2.70591518
516	1329	392.93001	2.71116939
517	1331	393.476329	2.71642359
518	1334	394.007406	2.7216778
519	1336	394.55359	2.726932
520	1338	395.084753	2.7321862
521	1341	395.630905	2.73744041
522	1343	396.161774	2.74269461
523	1345	396.708072	2.74794882
524	1348	397.239099	2.75320302
525	1350	397.78519	2.75845723
526	1352	398.316416	2.76371143
527	1354	398.862608	2.76896563
528	1357	399.393465	2.77421984
529	1359	399.939735	2.77947404
530	1361	400.470671	2.78472825
531	1364	401.016618	2.78998245
532	1366	401.547725	2.79523665
533	1368	402.093823	2.80049086
534	1371	402.624535	2.80574506
535	1373	403.170578	2.81099927
536	1375	403.701382	2.81625347
537	1378	404.247116	2.82150768
538	1380	404.775981	2.82676188
